date,close,open,high,low,volume,change
2018年11月9日,562,567.22,569,562,2.43M,-1.46%
2018年11月8日,570.34,574,577,568,3.38M,0.70%
2018年11月7日,566.4,569,574.95,562.01,3.81M,0.07%
2018年11月6日,566,574,574.16,558.01,4.56M,-1.70%
2018年11月5日,575.8,593,593,571.77,7.55M,-4.02%
2018年11月2日,599.9,585,600,572.24,8.92M,6.55%
2018年11月1日,563,555,585.5,551.25,9.81M,2.57%
2018年10月31日,548.9,527,555,522,9.69M,4.75%
2018年10月30日,524,510,543,509.02,20.44M,-4.57%
2018年10月29日,549.09,549.09,549.09,549.09,4.91M,-10.00%
2018年10月26日,610.1,619,625,607.98,5.53M,-1.44%
2018年10月25日,619,620,622.5,608.58,7.56M,-2.82%
2018年10月24日,636.99,628.11,650,620,7.61M,-0.74%
2018年10月23日,641.74,689,689,635,12.31M,-7.40%
2018年10月22日,693,675,702.02,675,7.31M,3.43%
2018年10月19日,670,638,675,635.08,7.62M,3.72%
2018年10月18日,645.94,660,660,644.97,5.22M,-2.97%
2018年10月17日,665.72,675,677.3,649.9,4.31M,-0.21%
2018年10月16日,667.14,665.98,679.53,662.01,2.64M,0.04%
2018年10月15日,666.9,669.49,671.95,660.03,3.56M,-0.16%
2018年10月12日,668,651,672.68,650.58,5.45M,3.57%
2018年10月11日,644.99,635.01,668.94,635.01,9.16M,-3.86%
2018年10月10日,670.92,697.26,698,669.69,6.31M,-3.46%
2018年10月9日,695,686.9,698.71,685.9,4.02M,1.29%
2018年10月8日,686.15,715.41,719,686.15,8.27M,-6.01%
2018年9月28日,730,726.7,733.2,718.88,3.51M,0.83%
2018年9月27日,724,727.5,728,715.4,4.05M,-0.13%
2018年9月26日,724.93,702.1,732.68,701.99,7.23M,4.00%
2018年9月25日,697.02,695,705.77,693.26,3.06M,-0.43%
2018年9月21日,700.01,682,700.01,680.01,4.26M,3.16%
2018年9月20日,678.55,685.2,686.9,677.36,2.75M,-0.42%
2018年9月19日,681.42,666.58,686,666,4.82M,2.21%
