date,close,open,high,low,volume,change
2016年11月25日,316.92,317.04,318.0,313.42,2240000.0,-0.0003
2016年11月28日,319.5,317.55,320.18,316.6,4930000.0,0.008100000000000001
2016年11月29日,324.0,320.7,330.45,319.41,5880000.0,0.0141
2016年11月30日,319.06,321.22,323.3,318.45,2680000.0,-0.0152
2016年12月1日,321.05,320.0,324.59,318.68,2790000.0,0.0062
2016年12月2日,321.75,321.0,323.2,319.0,3060000.0,0.0022
2016年12月5日,315.99,319.2,324.54,315.82,4210000.0,-0.0179
2016年12月6日,326.44,316.23,326.58,316.23,3890000.0,0.0331
2016年12月7日,327.5,327.12,328.5,323.97,2530000.0,0.0032
2016年12月8日,337.7,328.01,340.0,327.0,5450000.0,0.0311
2016年12月9日,337.83,337.2,339.42,334.02,3450000.0,0.0004
2016年12月12日,326.95,337.7,340.0,325.7,5030000.0,-0.0322
2016年12月13日,333.08,326.84,335.0,325.5,4179999.9999999995,0.0187
2016年12月14日,331.88,333.0,334.07,328.5,3200000.0,-0.0036
2016年12月15日,328.04,332.46,332.99,325.58,3920000.0,-0.0116
2016年12月16日,327.8,327.0,329.88,323.58,2510000.0,-0.0007000000000000001
2016年12月19日,325.99,326.0,334.37,325.61,3050000.0,-0.0055000000000000005
2016年12月20日,326.3,326.04,327.0,321.81,3080000.0,0.001
2016年12月21日,328.7,326.9,329.29,323.56,2470000.0,0.0074
2016年12月22日,325.12,328.0,328.46,324.88,1470000.0,-0.0109
2016年12月23日,320.0,323.55,324.5,319.13,3110000.0,-0.015700000000000002
2016年12月26日,324.5,319.03,324.99,316.2,2600000.0,0.0141
2016年12月27日,326.2,324.51,328.8,323.5,2009999.9999999998,0.0052
2016年12月28日,323.97,326.99,328.0,323.33,1790000.0,-0.0068000000000000005
2016年12月29日,327.2,324.0,327.87,323.0,2120000.0,0.01
2016年12月30日,334.11,326.61,335.29,326.61,3470000.0,0.021099999999999997
2017年1月3日,334.56,334.28,337.0,332.81,2080000.0,0.0013
2017年1月4日,351.9,334.62,352.17,334.6,6530000.0,0.0518
2017年1月5日,346.98,350.0,351.45,345.44,4170000.0,-0.013999999999999999
2017年1月6日,350.9,346.64,359.78,346.1,6810000.0,0.0113
2017年1月9日,348.79,347.8,352.88,346.54,3540000.0,-0.006
2017年1月10日,349.18,348.45,352.0,346.6,3170000.0,0.0011
2017年1月11日,345.6,348.0,348.0,343.5,2360000.0,-0.0103
2017年1月12日,347.11,346.55,347.4,344.51,1780000.0,0.0044
2017年1月13日,344.76,346.98,347.39,343.88,1830000.0,-0.0068000000000000005
2017年1月16日,342.0,344.13,344.8,338.8,3690000.0,-0.008
2017年1月17日,349.3,342.6,351.5,342.0,3520000.0,0.0213
2017年1月18日,355.18,348.88,356.77,347.21,4600000.0,0.0168
2017年1月19日,354.6,355.0,358.48,351.7,2850000.0,-0.0016
2017年1月20日,354.99,354.9,357.4,353.03,2130000.0,0.0011
2017年1月23日,351.05,356.88,359.8,349.46,3260000.0,-0.0111
2017年1月24日,350.3,351.27,352.8,346.75,2690000.0,-0.0021
2017年1月25日,347.5,349.98,349.98,346.2,2300000.0,-0.008
2017年1月26日,344.36,348.14,348.8,341.3,3780000.0,-0.009000000000000001
2017年2月3日,346.85,346.0,349.18,345.0,2089999.9999999998,0.0072
2017年2月6日,346.85,348.49,348.89,344.96,1570000.0,0.0
2017年2月7日,343.58,346.84,347.4,343.14,2049999.9999999998,-0.009399999999999999
2017年2月8日,344.21,343.76,345.5,342.67,1910000.0,0.0018
2017年2月9日,347.61,345.0,348.79,344.61,2330000.0,0.009899999999999999
2017年2月10日,345.08,348.62,349.82,345.0,2410000.0,-0.0073
2017年2月13日,349.75,344.0,351.9,341.92,5360000.0,0.013500000000000002
2017年2月14日,350.21,349.54,352.6,349.1,2660000.0,0.0013
2017年2月15日,348.53,351.5,352.44,347.2,2630000.0,-0.0048
2017年2月16日,348.09,348.5,348.62,345.51,1760000.0,-0.0013
